Player;PTS;FGA;AST;DRB;ORB;STL;BLK;TOV
Bryn Forbes;3.6;3.3;0.7;0.4;0.2;0.3;0.1;0.5
Trent Forrest;2.3;2.6;1.7;1.4;0.2;0.3;0.1;0.7
Michael Foster Jr.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Evan Fournier;6.1;6.1;1.3;1.7;0.1;0.6;0.1;0.8
De'Aaron Fox;25.0;18.2;6.1;3.6;0.5;1.1;0.3;2.5
Markelle Fultz;14.0;11.3;5.7;2.8;1.2;1.5;0.4;2.3
Wenyen Gabriel;5.5;3.8;0.5;2.5;1.7;0.4;0.5;0.7
Daniel Gafford;9.0;5.1;1.1;3.5;2.1;0.4;1.3;1.1
Darius Garland;21.6;16.4;7.8;2.3;0.4;1.2;0.1;2.9
Usman Garuba;3.0;2.4;0.9;2.5;1.6;0.6;0.4;0.6
Luka Garza;6.5;4.1;0.6;1.1;1.2;0.1;0.1;0.5
Rudy Gay;5.2;5.1;1.0;2.3;0.6;0.3;0.3;0.7
Paul George;23.8;17.9;5.1;5.3;0.8;1.5;0.4;3.1
Taj Gibson;3.4;2.6;0.7;1.2;0.7;0.3;0.2;0.5
Josh Giddey;16.6;14.7;6.2;5.9;1.9;0.8;0.4;2.8
Shai Gilgeous-Alexander;31.4;20.3;5.5;4.0;0.9;1.6;1.0;2.8
Anthony Gill;3.3;2.2;0.6;1.1;0.6;0.1;0.2;0.3
Jacob Gilyard;3.0;3.0;7.0;4.0;0.0;3.0;0.0;2.0
Rudy Gobert;13.4;7.8;1.2;8.3;3.3;0.8;1.4;1.7
Jordan Goodwin;6.6;5.7;2.7;2.4;0.9;0.9;0.4;0.9
Aaron Gordon;16.3;11.2;3.0;4.1;2.4;0.8;0.8;1.4
Eric Gordon;12.4;9.5;2.7;1.7;0.2;0.6;0.4;1.5
Eric Gordon;13.1;10.2;2.9;1.8;0.3;0.6;0.4;1.8
Eric Gordon;11.0;8.0;2.1;1.5;0.2;0.6;0.4;1.0
Devonte' Graham;7.4;5.9;2.7;1.4;0.3;0.6;0.2;0.7
Devonte' Graham;5.3;4.4;2.2;1.1;0.2;0.6;0.2;0.5
Devonte' Graham;13.0;10.0;4.0;2.2;0.4;0.8;0.3;1.3
Jerami Grant;20.5;14.5;2.4;3.7;0.8;0.8;0.8;1.8
RaiQuan Gray;16.0;12.0;7.0;6.0;3.0;0.0;1.0;4.0
A.J. Green;4.4;3.6;0.6;1.1;0.2;0.2;0.0;0.3
Danny Green;5.5;4.5;0.5;1.0;0.3;0.5;0.3;0.9
Danny Green;3.0;3.7;0.7;1.0;0.3;0.3;0.0;1.0
Danny Green;6.5;4.8;0.5;1.0;0.3;0.6;0.4;0.9
Draymond Green;8.5;6.5;6.8;6.3;0.9;1.0;0.8;2.8
Jalen Green;22.1;17.9;3.7;3.2;0.6;0.8;0.2;2.6
JaMychal Green;6.4;4.4;0.9;2.3;1.3;0.4;0.4;0.9
Javonte Green;5.2;3.4;0.7;1.9;0.8;0.8;0.7;0.6
Jeff Green;7.8;5.9;1.2;1.9;0.7;0.3;0.3;0.8
Josh Green;9.1;6.4;1.7;2.1;0.9;0.7;0.1;1.2
AJ Griffin;8.9;7.4;1.0;1.6;0.5;0.6;0.2;0.6
Blake Griffin;4.1;3.2;1.5;2.6;1.1;0.3;0.2;0.5
Quentin Grimes;11.3;8.5;2.1;2.5;0.7;0.7;0.4;1.0
Rui Hachimura;11.2;9.3;0.9;3.7;0.8;0.3;0.4;0.8
Rui Hachimura;13.0;10.8;1.2;3.6;0.6;0.4;0.4;1.2
Rui Hachimura;9.6;7.9;0.7;3.7;1.0;0.2;0.4;0.5
Tyrese Haliburton;20.7;15.0;10.4;3.1;0.6;1.6;0.4;2.5
Jordan Hall;3.1;3.1;1.2;1.0;0.3;0.1;0.0;0.8
R.J. Hampton;6.4;5.0;1.1;1.5;0.4;0.6;0.2;0.9
R.J. Hampton;5.7;4.4;1.3;1.2;0.3;0.6;0.2;0.8
R.J. Hampton;7.3;5.9;1.0;1.9;0.4;0.5;0.2;1.0
Tim Hardaway Jr.;14.4;11.9;1.8;3.2;0.3;0.7;0.2;0.8
James Harden;21.0;14.5;10.7;5.4;0.7;1.2;0.5;3.4
Jaden Hardy;8.8;6.9;1.4;1.6;0.2;0.4;0.1;1.0
Ron Harper Jr.;2.2;1.8;0.4;0.4;0.3;0.0;0.1;0.0
Montrezl Harrell;5.6;3.7;0.6;1.6;1.2;0.3;0.4;0.6
Gary Harris;8.3;6.4;1.2;1.6;0.4;0.9;0.3;0.6
Joe Harris;7.6;5.9;1.4;1.9;0.3;0.5;0.2;0.6
Kevon Harris;4.1;3.1;0.5;1.2;0.8;0.5;0.1;0.6
Tobias Harris;14.7;11.4;2.5;4.8;0.9;0.9;0.5;1.2
Shaquille Harrison;8.8;7.2;6.0;4.2;0.2;2.2;0.4;1.2
Josh Hart;9.8;6.8;3.8;5.9;1.9;1.2;0.3;1.5
Josh Hart;9.5;7.1;3.9;6.3;1.9;1.1;0.2;1.5
Josh Hart;10.2;6.3;3.6;5.2;1.9;1.4;0.5;1.5
Isaiah Hartenstein;5.0;4.0;1.2;4.0;2.5;0.6;0.8;0.8
Udonis Haslem;3.9;4.1;0.0;1.0;0.6;0.1;0.3;0.1
Sam Hauser;6.4;5.0;0.9;2.1;0.4;0.4;0.3;0.4
Jaxson Hayes;5.0;3.3;0.7;2.0;0.8;0.4;0.4;0.7
Killian Hayes;10.3;10.7;6.2;2.5;0.4;1.4;0.4;2.3
Gordon Hayward;14.7;11.6;4.1;3.6;0.7;0.8;0.2;2.0
Juancho HernangÃ_mez;2.9;2.7;0.6;2.3;0.6;0.4;0.1;0.4
Willy HernangÃ_mez;6.9;4.4;0.9;3.2;1.5;0.4;0.3;1.0
Tyler Herro;20.1;16.6;4.2;5.0;0.4;0.8;0.2;2.4
Buddy Hield;16.8;13.0;2.8;4.2;0.8;1.2;0.3;1.7
Haywood Highsmith;4.4;4.0;0.8;2.4;1.1;0.7;0.3;0.8
George Hill;5.0;3.6;2.4;1.5;0.3;0.6;0.1;0.7
George Hill;5.0;3.8;2.5;1.5;0.4;0.5;0.1;0.8
George Hill;5.2;3.1;1.9;1.5;0.2;0.6;0.3;0.6
Malcolm Hill;1.0;0.8;0.0;0.6;0.0;0.0;0.0;0.0
Aaron Holiday;3.9;3.5;1.4;0.8;0.4;0.6;0.2;0.6
Jrue Holiday;19.3;15.3;7.4;3.9;1.2;1.2;0.4;2.9
Justin Holiday;4.5;4.4;0.9;1.1;0.1;0.4;0.4;0.5
Justin Holiday;4.5;4.5;0.9;0.8;0.1;0.2;0.4;0.4
Justin Holiday;4.4;4.4;0.9;1.6;0.2;0.8;0.5;0.6
Richaun Holmes;3.1;2.1;0.2;1.2;0.7;0.1;0.3;0.3
Al Horford;9.8;7.6;3.0;5.0;1.2;0.5;1.0;0.6
Talen Horton-Tucker;10.7;9.4;3.8;2.6;0.6;0.6;0.4;1.9
Danuel House Jr.;4.8;3.5;0.8;1.5;0.2;0.3;0.2;0.5
Caleb Houstan;3.8;3.6;0.6;1.3;0.7;0.2;0.1;0.4
Trevor Hudgins;1.8;1.8;0.6;0.0;0.0;0.0;0.0;0.2
Kevin Huerter;15.2;11.5;2.9;2.8;0.6;1.1;0.3;1.3
Jay Huff;7.3;3.6;1.4;2.1;0.9;0.4;0.6;0.7
De'Andre Hunter;15.4;12.3;1.4;3.6;0.7;0.5;0.3;1.2
